policy,workload,iterations,trial,workers,elapsed_s,throughput,steal_attempts,successful_steals
random,balanced,10000,10,8,2.862,349388,27823,6051
random,balanced,10000,10,16,1.538,650120,179767,30551
random,balanced,10000,2,1,24.514,40794,0,0
random,balanced,10000,2,2,11.785,84850,3013,3013
random,balanced,10000,2,4,5.759,173651,6425,3139
random,balanced,10000,2,8,2.837,352463,3857,1498
random,balanced,10000,2,16,1.476,677286,118645,31199
random,balanced,10000,3,1,24.174,41367,0,0
random,balanced,10000,3,2,11.753,85088,1561,1561
random,balanced,10000,3,4,5.7,175441,1687,1009
random,balanced,10000,3,8,2.835,352719,7780,3067
random,balanced,10000,3,16,1.58,633032,235578,46624
random,balanced,10000,4,1,24.269,41206,0,0
random,balanced,10000,4,2,11.772,84948,294,294
random,balanced,10000,4,4,5.707,175208,1504,922
random,balanced,10000,4,8,2.854,350346,3585,1612
random,balanced,10000,4,16,1.481,675301,96883,23011
random,balanced,10000,5,1,24.174,41367,0,0
random,balanced,10000,5,2,11.604,86178,599,599
random,balanced,10000,5,4,5.708,175185,1203,795
random,balanced,10000,5,8,2.851,350741,3858,2200
random,balanced,10000,5,16,1.522,657064,118653,31334
random,balanced,10000,6,1,24.202,41318,0,0
random,balanced,10000,6,2,11.664,85737,628,628
random,balanced,10000,6,4,5.724,174718,1491,712
random,balanced,10000,6,8,2.859,349810,7085,2953
random,balanced,10000,6,16,1.486,673106,148754,27706
random,balanced,10000,7,1,24.689,40503,0,0
random,balanced,10000,7,2,11.697,85488,408,408
random,balanced,10000,7,4,5.75,173898,18006,6916
random,balanced,10000,7,8,2.855,350323,9139,2862
random,balanced,10000,7,16,1.485,673334,62418,23390
random,balanced,10000,8,1,24.254,41231,0,0
random,balanced,10000,8,2,11.694,85516,540,540
random,balanced,10000,8,4,5.727,174610,2352,1111
random,balanced,10000,8,8,2.878,347459,13745,4224
random,balanced,10000,8,16,1.533,652304,168051,30888
random,balanced,10000,9,1,24.116,41466,0,0
random,balanced,10000,9,2,11.649,85843,75,75
random,balanced,10000,9,4,5.706,175258,6372,2312
random,balanced,10000,9,8,2.836,352601,16461,3601
random,balanced,10000,9,16,1.497,667923,139968,29650
random,balanced,1000,1,1,3.326,300640,0,0
random,balanced,1000,1,2,1.699,588479,3801,3801
random,balanced,1000,1,4,0.85,1176607,2407,1793
random,balanced,1000,1,8,4.804,208140,3795359,680607
random,balanced,1000,1,16,0.762,1312343,601897,215537
random,balanced,1000,10,1,3.399,294239,0,0
random,balanced,1000,10,2,1.735,576476,2126,2126
random,balanced,1000,10,4,0.875,1142349,47441,16918
random,balanced,1000,10,8,4.209,237594,3232904,590887
random,balanced,1000,10,16,0.81,1234468,479240,58554
random,balanced,1000,2,1,3.384,295471,0,0
random,balanced,1000,2,2,1.732,577232,3652,3652
random,balanced,1000,2,4,0.832,1201648,12717,7877
random,balanced,1000,2,8,4.801,208292,3846850,699999
random,balanced,1000,2,16,1.22,819646,1477202,302676
random,balanced,1000,3,1,3.4,294101,0,0
random,balanced,1000,3,2,1.772,564350,1869,1869
random,balanced,1000,3,4,0.851,1175615,16116,8196
random,balanced,1000,3,8,4.433,225589,3535040,644698
random,balanced,1000,3,16,0.613,1631262,155755,46691
random,balanced,1000,4,1,3.308,302305,0,0
random,balanced,1000,4,2,1.711,584472,7984,7984
random,balanced,1000,4,4,0.847,1180006,4928,2856
random,balanced,1000,4,8,0.598,1672884,28492,9683
random,balanced,1000,4,16,0.63,1587473,130984,26834
random,balanced,1000,5,1,3.35,298487,0,0
random,balanced,1000,5,2,1.684,593972,5293,5293
random,balanced,1000,5,4,0.855,1169017,21738,9367
random,balanced,1000,5,8,1.283,779636,525108,109054
random,balanced,1000,5,16,0.727,1374789,164643,40244
random,balanced,1000,6,1,3.415,292818,0,0
random,balanced,1000,6,2,1.778,562446,4744,4744
random,balanced,1000,6,4,0.842,1188014,12698,7810
random,balanced,1000,6,8,4.994,200231,3829724,689404
random,balanced,1000,6,16,1.207,828702,1324401,306812
random,balanced,1000,7,1,3.295,303520,0,0
random,balanced,1000,7,2,1.711,584417,6797,6797
random,balanced,1000,7,4,0.833,1201039,13310,7711
random,balanced,1000,7,8,5.179,193078,3948894,703548
random,balanced,1000,7,16,1.592,628127,1837193,312002
random,balanced,1000,8,1,3.424,292057,0,0
random,balanced,1000,8,2,1.735,576498,350,350
random,balanced,1000,8,4,0.884,1131492,52160,21628
random,balanced,1000,8,8,4.63,215973,3536025,651006
random,balanced,1000,8,16,0.82,1218851,338760,100241
random,balanced,1000,9,1,3.433,291264,0,0
random,balanced,1000,9,2,1.742,574091,9300,9300
random,balanced,1000,9,4,0.843,1186076,13386,7860
random,balanced,1000,9,8,4.565,219070,3789937,679155
random,balanced,1000,9,16,0.677,1476582,291519,48684
random,balanced,100,1,1,1.393,717748,0,0
random,balanced,100,1,2,0.798,1253864,66997,63529
random,balanced,100,1,4,5.506,181606,1480252,571190
random,balanced,100,1,8,6.383,156661,4758202,814183
random,balanced,100,1,16,1.049,953062,690483,147634
random,balanced,100,10,1,1.424,702077,0,0
random,balanced,100,10,2,0.856,1167575,83633,79585
random,balanced,100,10,4,5.428,184240,1459168,575716
random,balanced,100,10,8,5.497,181931,4688195,821243
random,balanced,100,10,16,1.231,812157,1559789,275427
random,balanced,100,2,1,1.802,554845,0,0
random,balanced,100,2,2,0.811,1233789,83466,79576
random,balanced,100,2,4,4.664,214413,1296078,533203
random,balanced,100,2,8,5.469,182837,4623922,800934
random,balanced,100,2,16,1.226,815355,1396708,296949
random,balanced,100,3,1,1.387,720755,0,0
random,balanced,100,3,2,0.839,1191262,79888,75465
random,balanced,100,3,4,5.16,193793,1425886,570354
random,balanced,100,3,8,5.373,186125,4792593,821341
random,balanced,100,3,16,1.819,549682,2089634,279372
random,balanced,100,4,1,1.412,708215,0,0
random,balanced,100,4,2,0.814,1227825,83764,79761
random,balanced,100,4,4,5.553,180085,1471712,576076
random,balanced,100,4,8,5.352,186853,4552690,815788
random,balanced,100,4,16,2.106,474914,3421748,463842
random,balanced,100,5,1,1.342,745379,0,0
random,balanced,100,5,2,0.862,1160540,73809,69820
random,balanced,100,5,4,5.328,187705,1463808,580026
random,balanced,100,5,8,5.611,178226,4417354,775749
random,balanced,100,5,16,0.695,1439723,218275,103429
random,balanced,100,6,1,1.77,564835,0,0
random,balanced,100,6,2,0.922,1084490,92485,86918
random,balanced,100,6,4,5.917,169013,1575549,616080
random,balanced,100,6,8,5.679,176081,4633169,808807
random,balanced,100,6,16,0.734,1362720,341456,117877
random,balanced,100,7,1,1.421,703769,0,0
random,balanced,100,7,2,0.847,1180479,86330,81529
random,balanced,100,7,4,5.285,189227,1443824,561276
random,balanced,100,7,8,5.34,187251,4302150,766263
random,balanced,100,7,16,0.734,1361482,427064,54706
random,balanced,100,8,1,1.432,698487,0,0
random,balanced,100,8,2,0.841,1188590,86438,82370
random,balanced,100,8,4,6.287,159058,1666043,638806
random,balanced,100,8,8,5.474,182666,4719740,821843
random,balanced,100,8,16,2.48,403221,4040003,516673
random,balanced,100,9,1,1.347,742610,0,0
random,balanced,100,9,2,0.869,1150742,87819,84066
random,balanced,100,9,4,4.879,204957,1338452,536058
random,balanced,100,9,8,5.491,182113,4654762,809771
random,balanced,100,9,16,1.015,985238,1113984,239514
random,imbalanced,10000,1,1,24.36,41050,0,0
random,imbalanced,10000,1,2,11.317,88360,244288,244288
random,imbalanced,10000,1,4,5.548,180261,556072,195719
random,imbalanced,10000,1,8,2.939,340263,750720,145649
random,imbalanced,10000,1,16,1.782,561030,864957,125942
random,imbalanced,10000,10,1,24.564,40710,0,0
random,imbalanced,10000,10,2,11.331,88252,242886,242886
random,imbalanced,10000,10,4,5.535,180682,557395,197245
random,imbalanced,10000,10,8,2.939,340203,756551,143180
random,imbalanced,10000,10,16,1.726,579243,873280,139578
random,imbalanced,10000,2,1,24.548,40736,0,0
random,imbalanced,10000,2,2,11.338,88201,243293,243293
random,imbalanced,10000,2,4,5.53,180837,556393,195657
random,imbalanced,10000,2,8,2.961,337691,754532,139923
random,imbalanced,10000,2,16,2.032,492057,866096,75246
random,imbalanced,10000,3,1,24.391,40999,0,0
random,imbalanced,10000,3,2,11.315,88379,243973,243973
random,imbalanced,10000,3,4,5.523,181051,555111,196290
random,imbalanced,10000,3,8,2.913,343305,753233,153808
random,imbalanced,10000,3,16,1.687,592920,862944,149908
random,imbalanced,10000,4,1,24.283,41180,0,0
random,imbalanced,10000,4,2,11.173,89502,245437,245437
random,imbalanced,10000,4,4,5.539,180537,556435,195286
random,imbalanced,10000,4,8,3.057,327091,752192,138835
random,imbalanced,10000,4,16,1.882,531262,864717,68929
random,imbalanced,10000,5,1,24.301,41150,0,0
random,imbalanced,10000,5,2,11.259,88818,245882,245882
random,imbalanced,10000,5,4,5.561,179829,555746,194717
random,imbalanced,10000,5,8,2.963,337453,753758,140091
random,imbalanced,10000,5,16,1.859,537847,854533,61971
